shipment_id,shipment_date,supplier_name,warehouse_location,product_category,units_ordered,delivery_delay_days,damaged_units
SHP00043,2026-02-10,Supplier_B,WH_West,Sports,560,5,28
SHP00044,2026-02-11,Supplier_C,WH_West,Sports,144,7,10
SHP00045,2026-02-13,Supplier_B,WH_South,Electronics,657,3,42
SHP00046,2026-02-25,Supplier_B,WH_South,Sports,199,2,19
SHP00047,2026-02-03,Supplier_C,WH_South,Electronics,658,7,11
SHP00048,2026-02-27,Supplier_C,WH_West,Clothing,272,8,7
SHP00049,2026-02-24,Supplier_B,WH_South,Sports,406,3,25
SHP00050,2026-02-03,Supplier_C,WH_West,Clothing,329,8,17
SHP00051,2026-02-12,Supplier_C,WH_North,Clothing,780,4,27
SHP00052,2026-02-11,Supplier_A,WH_South,Clothing,202,3,9
SHP00053,2026-02-10,Supplier_A,WH_North,Electronics,538,1,31
SHP00054,2026-02-11,Supplier_C,WH_North,Home,422,4,28
SHP00055,2026-02-15,Supplier_A,WH_North,Home,142,2,13
SHP00056,2026-02-09,Supplier_C,WH_South,Home,635,5,42
SHP00057,2026-02-22,Supplier_B,WH_South,Electronics,288,3,3
SHP00058,2026-02-20,Supplier_B,WH_North,Electronics,680,1,15
SHP00059,2026-02-15,Supplier_A,WH_North,Home,191,1,18
SHP00060,2026-02-20,Supplier_B,WH_West,Home,889,3,55
SHP00061,2026-02-07,Supplier_C,WH_West,Electronics,204,10,2
SHP00062,2026-02-17,Supplier_C,WH_North,Home,379,5,15
SHP00063,2026-02-16,Supplier_C,WH_North,Electronics,560,6,26
SHP00064,2026-02-04,Supplier_B,WH_North,Home,249,1,5
SHP00065,2026-02-03,Supplier_B,WH_West,Sports,364,3,26
SHP00066,2026-02-28,Supplier_B,WH_North,Electronics,977,3,70
SHP00067,2026-02-04,Supplier_A,WH_South,Home,547,1,35
SHP00068,2026-02-01,Supplier_C,WH_West,Electronics,829,8,69
SHP00069,2026-02-25,Supplier_A,WH_South,Sports,262,2,24
SHP00070,2026-02-17,Supplier_C,WH_South,Electronics,128,3,11
SHP00071,2026-02-20,Supplier_C,WH_South,Clothing,699,4,67
SHP00072,2026-02-21,Supplier_A,WH_South,Clothing,279,1,22
SHP00073,2026-02-09,Supplier_C,WH_West,Electronics,998,8,88
SHP00074,2026-02-11,Supplier_C,WH_West,Clothing,588,8,1
SHP00075,2026-02-09,Supplier_A,WH_West,Home,222,5,8
SHP00076,2026-02-16,Supplier_B,WH_South,Home,177,2,7
SHP00077,2026-02-03,Supplier_A,WH_South,Clothing,102,2,4
SHP00078,2026-02-14,Supplier_A,WH_West,Sports,168,3,8
SHP00079,2026-02-20,Supplier_C,WH_West,Home,122,5,2
SHP00080,2026-02-05,Supplier_B,WH_South,Home,176,1,5
SHP00081,2026-02-18,Supplier_C,WH_West,Electronics,838,7,3
SHP00082,2026-02-11,Supplier_A,WH_South,Sports,333,1,16
SHP00083,2026-02-01,Supplier_C,WH_South,Electronics,828,5,51
SHP00084,2026-02-28,Supplier_A,WH_West,Home,364,2,19
SHP00085,2026-02-21,Supplier_B,WH_West,Home,102,5,10
SHP00086,2026-02-26,Supplier_B,WH_North,Home,773,3,35
SHP00087,2026-02-06,Supplier_C,WH_North,Electronics,748,4,4
SHP00088,2026-02-27,Supplier_C,WH_South,Home,983,6,59
SHP00089,2026-02-06,Supplier_C,WH_West,Electronics,824,5,30
SHP00090,2026-02-27,Supplier_A,WH_South,Electronics,617,3,24
SHP00091,2026-02-01,Supplier_A,WH_West,Home,675,4,38
SHP00092,2026-02-08,Supplier_C,WH_North,Electronics,472,6,23
SHP00093,2026-02-02,Supplier_C,WH_South,Home,926,5,47
SHP00094,2026-02-01,Supplier_B,WH_South,Home,983,1,88
SHP00095,2026-02-19,Supplier_A,WH_North,Clothing,591,2,32
SHP00096,2026-02-16,Supplier_A,WH_South,Clothing,208,3,0
SHP00097,2026-02-08,Supplier_C,WH_North,Electronics,972,6,80
SHP00098,2026-02-04,Supplier_A,WH_West,Home,352,4,18
SHP00099,2026-02-18,Supplier_B,WH_South,Home,677,2,1
SHP00100,2026-02-04,Supplier_B,WH_North,Electronics,788,3,50
SHP00101,2026-02-27,Supplier_A,WH_South,Clothing,137,2,1
SHP00102,2026-02-12,Supplier_B,WH_South,Sports,314,3,21
SHP00103,2026-02-24,Supplier_C,WH_South,Clothing,524,4,44
SHP00104,2026-02-08,Supplier_B,WH_North,Electronics,156,1,4
SHP00105,2026-02-07,Supplier_A,WH_North,Clothing,627,3,0
SHP00106,2026-02-10,Supplier_A,WH_North,Sports,751,1,46
SHP00107,2026-02-10,Supplier_A,WH_West,Home,931,4,37
SHP00108,2026-02-18,Supplier_B,WH_South,Sports,371,3,9
SHP00109,2026-02-05,Supplier_A,WH_West,Home,368,3,3
SHP00110,2026-02-21,Supplier_B,WH_North,Electronics,934,2,81
SHP00111,2026-02-19,Supplier_B,WH_West,Home,673,5,63
SHP00112,2026-02-22,Supplier_A,WH_West,Home,770,5,28
SHP00113,2026-02-06,Supplier_B,WH_North,Sports,685,3,51
SHP00114,2026-02-23,Supplier_B,WH_North,Clothing,626,1,30
SHP00115,2026-02-22,Supplier_B,WH_North,Sports,375,3,10
SHP00116,2026-02-06,Supplier_A,WH_West,Electronics,398,5,12
SHP00117,2026-02-24,Supplier_C,WH_West,Sports,414,7,26
SHP00118,2026-02-06,Supplier_B,WH_South,Clothing,130,1,7
SHP00119,2026-02-25,Supplier_B,WH_North,Sports,950,1,16
SHP00120,2026-02-03,Supplier_B,WH_South,Sports,529,2,37
SHP00121,2026-02-25,Supplier_B,WH_North,Sports,233,2,20
SHP00122,2026-02-24,Supplier_A,WH_West,Electronics,332,6,6
SHP00123,2026-02-07,Supplier_B,WH_West,Electronics,102,4,5
SHP00124,2026-02-27,Supplier_A,WH_South,Home,985,1,91
SHP00125,2026-02-26,Supplier_C,WH_West,Clothing,902,9,31
SHP00126,2026-02-20,Supplier_C,WH_North,Electronics,885,5,20
SHP00127,2026-02-15,Supplier_C,WH_West,Clothing,473,8,37
SHP00128,2026-02-24,Supplier_C,WH_West,Sports,127,9,5
SHP00129,2026-02-25,Supplier_B,WH_West,Electronics,618,4,21
SHP00130,2026-02-01,Supplier_B,WH_West,Sports,965,4,13
SHP00131,2026-02-20,Supplier_A,WH_South,Home,439,3,0
SHP00132,2026-02-19,Supplier_C,WH_North,Clothing,663,4,13
SHP00133,2026-02-18,Supplier_A,WH_South,Sports,148,3,3
SHP00134,2026-02-24,Supplier_B,WH_North,Clothing,566,3,26
SHP00135,2026-02-04,Supplier_B,WH_South,Sports,157,2,7
SHP00136,2026-02-12,Supplier_A,WH_West,Clothing,112,4,2
SHP00137,2026-02-18,Supplier_A,WH_North,Clothing,576,3,53
SHP00138,2026-02-02,Supplier_C,WH_South,Home,768,7,47
SHP00139,2026-02-25,Supplier_B,WH_South,Clothing,152,2,10
SHP00140,2026-02-19,Supplier_A,WH_South,Clothing,755,3,12
SHP00141,2026-02-08,Supplier_C,WH_South,Home,954,4,18
SHP00142,2026-02-22,Supplier_C,WH_West,Sports,661,7,45
SHP00143,2026-02-10,Supplier_A,WH_West,Home,931,3,49
SHP00144,2026-02-27,Supplier_C,WH_North,Sports,556,5,31
SHP00145,2026-02-02,Supplier_A,WH_South,Home,913,1,67
SHP00146,2026-02-05,Supplier_C,WH_South,Home,820,4,44
SHP00147,2026-02-04,Supplier_C,WH_West,Sports,987,4,93
SHP00148,2026-02-16,Supplier_C,WH_South,Electronics,861,5,32
SHP00149,2026-02-03,Supplier_B,WH_North,Clothing,274,2,0
SHP00150,2026-02-02,Supplier_C,WH_West,Electronics,667,9,18
SHP00151,2026-02-01,Supplier_C,WH_West,Home,783,7,6
SHP00152,2026-02-07,Supplier_C,WH_South,Sports,238,5,12
SHP00153,2026-02-18,Supplier_B,WH_South,Home,297,1,4
SHP00154,2026-02-16,Supplier_B,WH_West,Clothing,325,2,11
SHP00155,2026-02-22,Supplier_B,WH_North,Sports,786,1,33
SHP00156,2026-02-25,Supplier_A,WH_South,Home,230,3,22
SHP00157,2026-02-25,Supplier_A,WH_North,Electronics,903,1,35
SHP00158,2026-02-19,Supplier_B,WH_North,Clothing,841,1,70
SHP00159,2026-02-15,Supplier_A,WH_West,Home,593,3,48
SHP00160,2026-02-21,Supplier_C,WH_South,Sports,797,6,79
SHP00161,2026-02-07,Supplier_A,WH_West,Sports,299,4,29
SHP00162,2026-02-06,Supplier_B,WH_South,Sports,344,2,2
SHP00163,2026-02-28,Supplier_C,WH_North,Clothing,938,6,93
SHP00164,2026-02-07,Supplier_B,WH_South,Home,631,1,56
SHP00165,2026-02-13,Supplier_A,WH_North,Sports,754,3,37
SHP00166,2026-02-10,Supplier_C,WH_North,Clothing,930,7,42
SHP00167,2026-02-21,Supplier_B,WH_North,Electronics,788,1,47
SHP00168,2026-02-11,Supplier_A,WH_West,Sports,569,5,46
SHP00169,2026-02-24,Supplier_A,WH_South,Sports,243,2,18
SHP00170,2026-02-13,Supplier_A,WH_South,Sports,487,2,48
SHP00171,2026-02-23,Supplier_A,WH_North,Electronics,786,1,25
SHP00172,2026-02-24,Supplier_C,WH_West,Home,154,6,5
SHP00173,2026-02-28,Supplier_C,WH_West,Clothing,170,7,0
SHP00174,2026-02-20,Supplier_C,WH_South,Electronics,589,3,32
SHP00175,2026-02-26,Supplier_C,WH_West,Clothing,545,8,32
SHP00176,2026-02-07,Supplier_C,WH_North,Clothing,882,6,86
SHP00177,2026-02-13,Supplier_A,WH_North,Clothing,122,3,12
SHP00178,2026-02-03,Supplier_A,WH_South,Home,734,2,71
SHP00179,2026-02-10,Supplier_B,WH_North,Electronics,620,1,33
SHP00180,2026-02-14,Supplier_B,WH_South,Home,605,1,10
SHP00181,2026-02-06,Supplier_B,WH_South,Home,385,3,5
SHP00182,2026-02-23,Supplier_B,WH_South,Electronics,247,3,24
SHP00183,2026-02-12,Supplier_B,WH_South,Sports,422,2,22
SHP00184,2026-02-05,Supplier_C,WH_North,Clothing,479,8,47
SHP00185,2026-02-03,Supplier_A,WH_North,Electronics,972,1,14
SHP00186,2026-02-16,Supplier_A,WH_West,Home,610,6,28
SHP00187,2026-02-20,Supplier_A,WH_West,Clothing,172,5,8
SHP00188,2026-02-02,Supplier_C,WH_South,Home,745,6,58
SHP00189,2026-02-07,Supplier_B,WH_North,Electronics,155,1,9
SHP00190,2026-02-21,Supplier_C,WH_North,Home,850,5,3
SHP00191,2026-02-23,Supplier_C,WH_North,Clothing,950,5,67
SHP00192,2026-02-07,Supplier_C,WH_North,Electronics,841,3,41
SHP00193,2026-02-26,Supplier_A,WH_West,Clothing,427,3,10
SHP00194,2026-02-01,Supplier_A,WH_West,Electronics,696,3,2
SHP00195,2026-02-05,Supplier_A,WH_North,Electronics,758,2,13
SHP00196,2026-02-18,Supplier_B,WH_West,Home,952,4,14
SHP00197,2026-02-19,Supplier_B,WH_South,Sports,385,2,14
SHP00198,2026-02-06,Supplier_A,WH_South,Clothing,401,1,2
SHP00199,2026-02-03,Supplier_A,WH_West,Home,297,5,7
SHP00200,2026-02-23,Supplier_C,WH_West,Sports,202,8,0
SHP00201,2026-02-05,Supplier_C,WH_North,Clothing,696,6,34
SHP00202,2026-02-26,Supplier_C,WH_North,Clothing,794,7,59
SHP00203,2026-02-16,Supplier_B,WH_West,Sports,585,4,49
SHP00204,2026-02-01,Supplier_C,WH_North,Sports,136,5,4
SHP00205,2026-02-15,Supplier_C,WH_North,Sports,821,6,71
SHP00206,2026-02-17,Supplier_A,WH_West,Electronics,844,5,67
SHP00207,2026-02-23,Supplier_C,WH_South,Clothing,497,4,3
SHP00208,2026-02-08,Supplier_C,WH_North,Sports,404,6,4
SHP00209,2026-02-25,Supplier_A,WH_West,Clothing,747,5,68
SHP00210,2026-02-20,Supplier_B,WH_South,Sports,480,1,17
SHP00211,2026-02-15,Supplier_C,WH_West,Electronics,744,6,8
SHP00212,2026-02-03,Supplier_A,WH_South,Sports,953,1,17
SHP00213,2026-02-01,Supplier_B,WH_North,Electronics,980,1,37
SHP00214,2026-02-25,Supplier_C,WH_West,Sports,347,6,21
SHP00215,2026-02-09,Supplier_A,WH_North,Clothing,298,3,23
SHP00216,2026-02-12,Supplier_A,WH_South,Clothing,602,1,14
SHP00217,2026-02-21,Supplier_C,WH_South,Electronics,832,3,67
SHP00218,2026-02-26,Supplier_A,WH_West,Sports,714,3,55
SHP00219,2026-02-17,Supplier_C,WH_South,Sports,338,8,32
SHP00220,2026-02-09,Supplier_C,WH_North,Electronics,513,5,26
SHP00221,2026-02-15,Supplier_C,WH_North,Electronics,594,6,6
SHP00222,2026-02-06,Supplier_C,WH_South,Clothing,149,7,0
SHP00223,2026-02-04,Supplier_B,WH_West,Electronics,323,4,6
SHP00224,2026-02-12,Supplier_C,WH_North,Electronics,465,6,8
SHP00225,2026-02-06,Supplier_C,WH_West,Home,388,10,28
SHP00226,2026-02-10,Supplier_B,WH_West,Clothing,687,3,18
SHP00227,2026-02-21,Supplier_B,WH_North,Clothing,143,2,3
SHP00228,2026-02-25,Supplier_C,WH_South,Clothing,698,6,32
SHP00229,2026-02-15,Supplier_B,WH_West,Electronics,682,4,64
SHP00230,2026-02-12,Supplier_A,WH_West,Clothing,996,4,49
SHP00231,2026-02-22,Supplier_A,WH_West,Sports,110,5,7
SHP00232,2026-02-09,Supplier_B,WH_West,Electronics,831,2,58
SHP00233,2026-02-08,Supplier_B,WH_West,Sports,267,4,1
SHP00234,2026-02-02,Supplier_B,WH_North,Sports,536,1,11
SHP00235,2026-02-12,Supplier_B,WH_North,Sports,820,1,53
SHP00236,2026-02-23,Supplier_A,WH_South,Home,458,1,11
SHP00237,2026-02-12,Supplier_B,WH_West,Clothing,825,4,49
SHP00238,2026-02-27,Supplier_A,WH_North,Home,867,2,64
SHP00239,2026-02-09,Supplier_A,WH_West,Sports,536,3,32
SHP00240,2026-02-06,Supplier_A,WH_West,Sports,227,5,0
SHP00241,2026-02-22,Supplier_C,WH_West,Home,536,10,49
SHP00242,2026-02-08,Supplier_A,WH_South,Electronics,146,1,1
SHP00243,2026-02-24,Supplier_A,WH_West,Home,815,4,71
SHP00244,2026-02-14,Supplier_A,WH_North,Electronics,872,1,26
SHP00245,2026-02-17,Supplier_A,WH_South,Sports,340,3,10
SHP00246,2026-02-01,Supplier_A,WH_North,Home,580,2,58
SHP00247,2026-02-21,Supplier_A,WH_South,Clothing,748,3,49
SHP00248,2026-02-22,Supplier_B,WH_South,Electronics,951,3,51
SHP00249,2026-02-13,Supplier_A,WH_North,Sports,313,3,8
SHP00250,2026-02-27,Supplier_B,WH_North,Clothing,199,3,11
SHP00251,2026-02-01,Supplier_B,WH_South,Clothing,598,3,44
SHP00252,2026-02-17,Supplier_B,WH_North,Clothing,635,1,45
SHP00253,2026-02-11,Supplier_C,WH_South,Home,972,5,74
SHP00254,2026-02-20,Supplier_C,WH_South,Electronics,571,5,0
SHP00255,2026-02-24,Supplier_B,WH_South,Clothing,126,3,2
SHP00256,2026-02-13,Supplier_B,WH_South,Clothing,566,2,13
SHP00257,2026-02-01,Supplier_C,WH_North,Clothing,362,6,0
SHP00258,2026-02-27,Supplier_C,WH_North,Home,623,7,3
SHP00259,2026-02-28,Supplier_A,WH_North,Clothing,769,3,76
SHP00260,2026-02-27,Supplier_C,WH_South,Clothing,666,4,39
SHP00261,2026-02-09,Supplier_A,WH_North,Electronics,730,3,50
SHP00262,2026-02-02,Supplier_A,WH_West,Home,670,3,67
SHP00263,2026-02-28,Supplier_B,WH_South,Clothing,328,1,21
SHP00264,2026-02-06,Supplier_C,WH_West,Electronics,640,6,4
SHP00265,2026-02-12,Supplier_C,WH_North,Home,591,5,8
SHP00266,2026-02-09,Supplier_A,WH_South,Sports,535,1,38
SHP00267,2026-02-12,Supplier_A,WH_West,Home,916,5,13
SHP00268,2026-02-13,Supplier_C,WH_South,Electronics,131,5,7
SHP00269,2026-02-20,Supplier_A,WH_North,Electronics,396,2,27
SHP00270,2026-02-19,Supplier_A,WH_West,Electronics,386,6,6
SHP00271,2026-02-09,Supplier_B,WH_South,Sports,800,1,32
SHP00272,2026-02-20,Supplier_A,WH_South,Clothing,285,2,14
SHP00273,2026-02-12,Supplier_A,WH_West,Electronics,625,5,4
SHP00274,2026-02-25,Supplier_A,WH_North,Electronics,802,1,9
SHP00275,2026-02-18,Supplier_A,WH_North,Home,148,3,14
SHP00276,2026-02-08,Supplier_B,WH_North,Electronics,384,2,12
SHP00277,2026-02-20,Supplier_B,WH_North,Electronics,215,1,9
SHP00278,2026-02-13,Supplier_C,WH_South,Clothing,922,4,51
SHP00279,2026-02-18,Supplier_B,WH_West,Home,263,4,23
SHP00280,2026-02-04,Supplier_C,WH_North,Home,660,3,55
SHP00281,2026-02-26,Supplier_A,WH_West,Home,227,3,9
SHP00282,2026-02-27,Supplier_C,WH_South,Clothing,729,6,45
SHP00283,2026-02-19,Supplier_C,WH_West,Clothing,569,6,28
SHP00284,2026-02-21,Supplier_B,WH_North,Sports,906,3,37
SHP00285,2026-02-27,Supplier_B,WH_North,Clothing,271,1,8
SHP00286,2026-02-10,Supplier_B,WH_North,Electronics,862,1,1
SHP00287,2026-02-19,Supplier_A,WH_North,Sports,869,2,52
SHP00288,2026-02-26,Supplier_B,WH_North,Sports,797,2,58
SHP00289,2026-02-04,Supplier_B,WH_North,Clothing,273,3,16
SHP00290,2026-02-27,Supplier_B,WH_South,Home,523,3,30
SHP00291,2026-02-24,Supplier_A,WH_South,Sports,127,3,2
SHP00292,2026-02-24,Supplier_A,WH_West,Clothing,540,4,17
SHP00293,2026-02-18,Supplier_C,WH_North,Clothing,596,6,59
SHP00294,2026-02-02,Supplier_A,WH_West,Electronics,241,4,13
SHP00295,2026-02-13,Supplier_B,WH_West,Home,730,2,34
SHP00296,2026-02-15,Supplier_A,WH_South,Clothing,254,2,4
SHP00297,2026-02-20,Supplier_A,WH_North,Clothing,619,2,43
SHP00298,2026-02-14,Supplier_B,WH_West,Home,501,5,13
SHP00299,2026-02-23,Supplier_B,WH_North,Electronics,788,2,13
SHP00300,2026-02-09,Supplier_A,WH_South,Electronics,596,3,12
SHP00301,2026-02-14,Supplier_B,WH_South,Sports,107,1,8
SHP00302,2026-02-27,Supplier_B,WH_West,Clothing,337,4,2
SHP00303,2026-02-11,Supplier_A,WH_West,Home,918,2,81
SHP00304,2026-02-28,Supplier_A,WH_North,Electronics,394,3,36
SHP00305,2026-02-24,Supplier_A,WH_West,Electronics,782,4,8
SHP00306,2026-02-09,Supplier_C,WH_West,Sports,483,8,2
SHP00307,2026-02-27,Supplier_B,WH_South,Electronics,785,1,30
SHP00308,2026-02-14,Supplier_B,WH_West,Clothing,647,4,57
SHP00309,2026-02-06,Supplier_C,WH_West,Home,752,8,62
SHP00310,2026-02-20,Supplier_A,WH_South,Clothing,592,1,30
SHP00311,2026-02-07,Supplier_A,WH_West,Electronics,298,4,0
SHP00312,2026-02-02,Supplier_C,WH_West,Home,989,7,59
SHP00313,2026-02-22,Supplier_B,WH_South,Home,463,2,11
SHP00314,2026-02-01,Supplier_A,WH_South,Sports,940,3,47
SHP00315,2026-02-20,Supplier_A,WH_West,Home,129,4,9
SHP00316,2026-02-11,Supplier_A,WH_West,Clothing,931,3,88
SHP00317,2026-02-22,Supplier_B,WH_West,Electronics,486,2,21
SHP00318,2026-02-20,Supplier_C,WH_West,Home,707,5,70
SHP00319,2026-02-08,Supplier_C,WH_West,Home,761,6,30
SHP00320,2026-02-05,Supplier_C,WH_North,Electronics,847,6,41
SHP00321,2026-02-23,Supplier_C,WH_South,Home,141,5,5
SHP00322,2026-02-26,Supplier_C,WH_West,Sports,190,9,10
SHP00323,2026-02-04,Supplier_C,WH_North,Clothing,859,6,79
SHP00324,2026-02-14,Supplier_C,WH_West,Electronics,446,8,20
SHP00325,2026-02-09,Supplier_B,WH_West,Electronics,431,4,4
SHP00326,2026-02-20,Supplier_B,WH_West,Electronics,691,2,47
SHP00327,2026-02-05,Supplier_B,WH_South,Home,105,1,10
SHP00328,2026-02-10,Supplier_A,WH_North,Electronics,657,3,60
SHP00329,2026-02-01,Supplier_A,WH_South,Electronics,292,1,22
SHP00330,2026-02-07,Supplier_C,WH_South,Electronics,550,7,55
SHP00331,2026-02-11,Supplier_A,WH_South,Electronics,248,1,24
SHP00332,2026-02-18,Supplier_B,WH_North,Home,138,3,12
SHP00333,2026-02-12,Supplier_A,WH_South,Clothing,286,3,11
SHP00334,2026-02-19,Supplier_B,WH_South,Home,257,1,5
SHP00335,2026-02-18,Supplier_A,WH_North,Home,258,2,9
SHP00336,2026-02-05,Supplier_A,WH_West,Home,387,3,3
SHP00337,2026-02-24,Supplier_A,WH_North,Home,511,1,29
SHP00338,2026-02-28,Supplier_B,WH_South,Home,924,1,91
SHP00339,2026-02-25,Supplier_A,WH_North,Home,131,2,9
SHP00340,2026-02-16,Supplier_A,WH_West,Electronics,642,4,54
SHP00341,2026-02-26,Supplier_A,WH_South,Clothing,181,3,6
SHP00342,2026-02-17,Supplier_B,WH_South,Electronics,574,2,53
SHP00343,2026-02-17,Supplier_C,WH_South,Clothing,231,6,20
SHP00344,2026-02-16,Supplier_A,WH_South,Clothing,596,3,31
SHP00345,2026-02-13,Supplier_C,WH_West,Sports,799,8,29
SHP00346,2026-02-12,Supplier_A,WH_West,Sports,273,5,6
SHP00347,2026-02-11,Supplier_B,WH_West,Clothing,761,5,1
SHP00348,2026-02-04,Supplier_A,WH_North,Home,894,1,21
SHP00349,2026-02-22,Supplier_B,WH_West,Electronics,930,6,85
SHP00350,2026-02-10,Supplier_C,WH_South,Clothing,261,8,9
SHP00351,2026-02-07,Supplier_B,WH_South,Clothing,145,1,5
SHP00352,2026-02-06,Supplier_A,WH_North,Clothing,324,2,32
SHP00353,2026-02-15,Supplier_B,WH_South,Home,279,1,14
SHP00354,2026-02-02,Supplier_A,WH_North,Home,918,2,38
SHP00355,2026-02-28,Supplier_B,WH_South,Home,200,2,8
SHP00356,2026-02-01,Supplier_C,WH_West,Sports,857,6,54
SHP00357,2026-02-08,Supplier_C,WH_West,Sports,437,6,26
SHP00358,2026-02-01,Supplier_B,WH_West,Clothing,422,4,34
SHP00359,2026-02-23,Supplier_A,WH_North,Clothing,627,3,34
SHP00360,2026-02-14,Supplier_C,WH_South,Home,744,4,54
SHP00361,2026-02-12,Supplier_B,WH_North,Clothing,855,1,55
SHP00362,2026-02-14,Supplier_A,WH_South,Electronics,716,2,31
SHP00363,2026-02-08,Supplier_B,WH_West,Electronics,557,6,26
SHP00364,2026-02-25,Supplier_A,WH_South,Home,471,2,39
SHP00365,2026-02-23,Supplier_C,WH_South,Home,368,5,36
SHP00366,2026-02-17,Supplier_C,WH_North,Electronics,580,4,16
SHP00367,2026-02-11,Supplier_C,WH_North,Electronics,124,7,5
SHP00368,2026-02-11,Supplier_A,WH_North,Sports,801,3,14
SHP00369,2026-02-07,Supplier_A,WH_North,Clothing,583,2,50
SHP00370,2026-02-05,Supplier_C,WH_North,Sports,825,6,13
SHP00371,2026-02-23,Supplier_C,WH_North,Home,870,3,38
SHP00372,2026-02-24,Supplier_B,WH_West,Home,641,3,58
SHP00373,2026-02-11,Supplier_C,WH_South,Electronics,798,8,40
SHP00374,2026-02-14,Supplier_A,WH_North,Clothing,699,2,23
SHP00375,2026-02-22,Supplier_B,WH_North,Sports,167,1,13
SHP00376,2026-02-22,Supplier_C,WH_North,Sports,978,6,81
SHP00377,2026-02-15,Supplier_A,WH_West,Clothing,908,4,20
SHP00378,2026-02-01,Supplier_C,WH_West,Electronics,599,7,56
SHP00379,2026-02-10,Supplier_C,WH_West,Sports,591,10,8
SHP00380,2026-02-13,Supplier_B,WH_South,Sports,777,1,23
SHP00381,2026-02-23,Supplier_A,WH_North,Home,952,2,95
SHP00382,2026-02-05,Supplier_C,WH_West,Sports,352,9,33
SHP00383,2026-02-19,Supplier_A,WH_West,Clothing,130,4,0
SHP00384,2026-02-18,Supplier_B,WH_South,Electronics,124,3,2
SHP00385,2026-02-21,Supplier_B,WH_South,Home,298,3,0
SHP00386,2026-02-09,Supplier_B,WH_South,Clothing,859,3,8
SHP00387,2026-02-26,Supplier_A,WH_West,Clothing,433,3,3
SHP00388,2026-02-05,Supplier_A,WH_North,Electronics,245,1,19
SHP00389,2026-02-16,Supplier_A,WH_North,Clothing,412,2,6
SHP00390,2026-02-15,Supplier_A,WH_North,Electronics,185,3,2
SHP00391,2026-02-21,Supplier_A,WH_South,Clothing,571,3,2
SHP00392,2026-02-06,Supplier_B,WH_North,Clothing,114,2,7
SHP00393,2026-02-24,Supplier_A,WH_West,Home,720,3,48
SHP00394,2026-02-26,Supplier_C,WH_North,Sports,653,6,20
